2023-06-16 15:44:46.900760,Open,the,GPS
2023-06-16 15:44:47.407282,Open,the,GPS
2023-06-16 15:44:47.913804,Open,the,GPS
2023-06-16 15:44:48.420326,Open,the,GPS
2023-06-16 15:44:48.926848,Open,the,GPS
2023-06-16 15:44:49.433372,Open,the,GPS
2023-06-16 15:44:57.032237,Open,the,GPS
2023-06-16 15:45:04.631102,Open,the,GPS
2023-06-16 15:45:12.229967,Open,the,GPS
2023-06-16 15:45:19.828832,Open,the,GPS
2023-06-16 15:51:26.927344,Open,the,GPS
2023-06-16 15:51:27.394486,Open,the,GPS
2023-06-16 15:51:27.861628,Open,the,GPS
2023-06-16 15:51:28.328770,Open,the,GPS
2023-06-16 15:51:28.795912,Open,the,GPS
2023-06-16 15:52:37.587624,Open,the,GPS
2023-06-16 15:52:38.104724,Open,the,GPS
2023-06-16 15:52:38.621824,Open,the,GPS
2023-06-16 15:52:39.138924,Open,the,GPS
2023-06-16 15:52:39.656024,Open,the,GPS
2023-06-16 15:56:10.939937,Open,the,GPS
2023-06-16 15:56:11.398659,Open,the,GPS
2023-06-16 15:56:11.857381,Open,the,GPS
2023-06-16 15:56:12.316103,Open,the,GPS
2023-06-16 15:56:12.774825,Open,the,GPS
2023-06-16 15:57:15.510216,Open,the,GPS
2023-06-16 15:57:16.044523,Open,the,GPS
2023-06-16 15:57:16.578830,Open,the,GPS
2023-06-16 15:57:17.113137,Open,the,GPS
2023-06-16 15:57:17.647444,Open,the,GPS
2023-06-16 15:57:18.181751,Open,the,GPS
2023-06-16 15:57:25.798864,Open,the,GPS
2023-06-16 15:57:33.415977,Open,the,GPS
2023-06-16 15:57:41.033090,Open,the,GPS
2023-06-16 15:57:48.650203,Open,the,GPS
